Date;Close;Open;High;Low;Volume;Variation %
13/07/2021;17.85;17.85;17.85;17.25;387420;0.00%
12/07/2021;17.85;17.85;18;17.45;1220000;0.00%
09/07/2021;17.85;17.85;18.15;17.4;666710;0.00%
08/07/2021;17.85;18;17.85;17.85;806050;-0.83%
07/07/2021;18;17.65;18;17.8;1590000;1.98%
06/07/2021;17.65;17.65;18;17.65;1020000;0.00%
05/07/2021;17.65;18.4;18.2;17.65;1650000;-4.08%
02/07/2021;18.4;18.6;18.4;18.4;728340;-1.08%
01/07/2021;18.6;18.75;18.6;18.6;1740000;-0.80%
30/06/2021;18.75;18.75;18.8;17.85;1050000;0.00%
29/06/2021;18.75;18;18;17.95;1090000;4.17%
28/06/2021;18;18;18.1;17.9;380430;0.00%
25/06/2021;18;17.9;18;18;738330;0.56%
24/06/2021;17.9;17.9;17.9;17.9;876100;0.00%
23/06/2021;17.9;17.7;17.95;17.7;952840;1.13%
22/06/2021;17.7;17.7;17.7;17.7;17630000;0.00%
21/06/2021;17.7;17.75;17.7;17.6;8370000;-0.28%
18/06/2021;17.75;17.75;17.8;17.75;1940000;0.00%
17/06/2021;17.75;17.75;17.75;17.75;1080000;0.00%
16/06/2021;17.75;17.7;17.75;17.7;3000000;0.28%
15/06/2021;17.7;17.75;17.7;17.5;11510000;-0.28%
11/06/2021;17.75;17.75;17.9;17.5;357380;0.00%
10/06/2021;17.75;17.5;17.75;17.75;507570;1.43%
09/06/2021;17.5;17.5;17.5;17.5;696430;0.00%
08/06/2021;17.5;17;17.5;17.5;365700;2.94%
07/06/2021;17;17;17.8;17.2;1730000;0.00%
04/06/2021;17;17;17.95;17.35;1020000;0.00%
03/06/2021;17;17;17;17;1370000;0.00%
02/06/2021;17;17.05;17;17;944390;-0.29%
01/06/2021;17.05;17.1;17.15;17.05;1970000;-0.29%
31/05/2021;17.1;17.15;17.15;17.1;2170000;-0.29%
28/05/2021;17.15;17.15;17.7;17.15;211410;0.00%
27/05/2021;17.15;17.15;17.6;17.05;366060;0.00%
26/05/2021;17.15;17.2;17.15;17.15;1560000;-0.29%
25/05/2021;17.2;17.2;17.45;17.05;808670;0.00%
24/05/2021;17.2;17.2;17.7;17.2;564850;0.00%
21/05/2021;17.2;17.1;17.2;17.2;793360;0.58%
20/05/2021;17.1;17.1;17.1;17.1;580540;0.00%
19/05/2021;17.1;17.8;17.8;17.1;1840000;-3.93%
18/05/2021;17.8;17.8;17.8;17.8;1790000;0.00%
17/05/2021;17.8;17.95;17.95;17.8;20720000;-0.84%
14/05/2021;17.95;17.6;17.95;17.7;3620000;1.99%
11/05/2021;17.6;17.6;17.7;17.6;3170000;0.00%
10/05/2021;17.6;17.7;17.6;17.6;1200000;-0.56%
07/05/2021;17.7;17.55;17.75;17.5;9380000;0.85%
06/05/2021;17.55;17.2;17.55;17.5;1170000;2.03%
05/05/2021;17.2;17;17.25;17.05;3260000;1.18%
04/05/2021;17;17.05;17;17;2480000;-0.29%
30/04/2021;17.05;17;17.05;17;2460000;0.29%
29/04/2021;17;17.4;17;17;1860000;-2.30%
28/04/2021;17.4;17.4;17.75;17.2;384440;0.00%
27/04/2021;17.4;17.4;17.7;17;232340;0.00%
26/04/2021;17.4;17.9;17.4;17;2340000;-2.79%
23/04/2021;17.9;17;18;17.9;1740000;5.29%
22/04/2021;17;17;17.5;16.8;2120000;0.00%
21/04/2021;17;17;17.4;17;610920;0.00%
20/04/2021;17;16.75;17.2;16.85;3830000;1.49%
19/04/2021;16.75;16.9;16.95;16.7;1470000;-0.89%
16/04/2021;16.9;16.8;16.95;16.8;3420000;0.60%
15/04/2021;16.8;16.5;16.95;16.75;3180000;1.82%
14/04/2021;16.5;16.6;16.5;16.5;4070000;-0.60%
13/04/2021;16.6;16.6;16.9;16.5;719120;0.00%
12/04/2021;16.6;16.95;16.6;16.6;451990;-2.06%
09/04/2021;16.95;17;16.95;16.95;908320;-0.29%
08/04/2021;17;17;17;16.7;174890;0.00%
07/04/2021;17;17.05;17;17;1720000;-0.29%
06/04/2021;17.05;17;17.4;17;3990000;0.29%
01/04/2021;17;17;17;16.6;627860;0.00%
31/03/2021;17;16.6;17;16.7;1860000;2.41%
30/03/2021;16.6;16.5;16.6;16.4;5660000;0.61%
29/03/2021;16.5;16.4;16.5;16.5;1940000;0.61%
26/03/2021;16.4;16.4;16.7;16.4;315150;0.00%
25/03/2021;16.4;16.85;16.6;16.4;1070000;-2.67%
24/03/2021;16.85;16.85;16.85;16.85;6460000;0.00%
23/03/2021;16.85;16.95;16.85;16.85;107080000;-0.59%
22/03/2021;16.95;17;16.95;16.95;1470000;-0.29%
19/03/2021;17;17;17;17;620310;0.00%
18/03/2021;17;16;17.2;17;1870000;-2.86%
17/03/2021;17.5;17.5;17.5;17.45;2500000;0.00%
16/03/2021;17.5;17.55;17.5;17.5;1730000;-0.28%
15/03/2021;17.55;17.95;17.95;17.55;6010000;-2.23%
